id,word,explanation,char_count;;;;;;;;;;;;;;;;;;;;;;;;;
1,abadi,kekal; tidak berkesudahan: di dunia ini tidak ada yang abadi,5;;;;;;;;;;;;;;;;;;;;;;;;
3,abang,merah,5;;;;;;;;;;;;;;;;;;;;;;;;;
4,abjadiah,berdasarkan abjad,8;;;;;;;;;;;;;;;;;;;;;;;;;
5,abnormal,tidak sesuai dengan keadaan yang biasa; mempunyai kelainan; tidak normal: sejak kecelakaan itu dia menjadi abnormal,8;;;;;;;;;;;;;;;;;;;;;;;
6,abrit-abrit,dalam keadaan berlari tunggang-langgang (atau tergesa-gesa),11;;;;;;;;;;;;;;;;;;;;;;;;;
10,abtar,kudung; kutung; putus,5;;;;;;;;;;;;;;;;;;;;;;;
"11,abuh-abuhan,""bengkak-bengkak pada kaki, tubuh, dan sebagainya"",11";;;;;;;;;;;;;;;;;;;;;;;;;
14,acak-acakan,tidak teratur; tidak cermat; serampangan; kacau,11;;;;;;;;;;;;;;;;;;;;;;
17,acoan,sembrono; ugal-ugalan; serampangan,5;;;;;;;;;;;;;;;;;;;;;;;
"27,adikuasa,""berkekuatan amat besar atau luar biasa";" (tentang negara, bangsa): penyusunan kekuatan negara adikuasa di wilayah itu berlangsung diam-diam"",8";;;;;;;;;;;;;;;;;;;;;;;;
29,adinamia,istilah kedokteran dalam keadaan tidak bertenaga; lemas,8;;;;;;;;;;;;;;;;;;;;;;;;
33,adiwarna,indah sekali; bagus sekali,8;;;;;;;;;;;;;;;;;;;;;;;;
37,adventisius,timbul atau terjadi secara sporadis atau di tempat yang tidak biasa,11;;;;;;;;;;;;;;;;;;;;;;;;;
39,afdal,(1) lebih baik; lebih utama: salat baru afdal apabila dilaksanakan dengan baik dan tidak menyimpang dari rukunnya; (2) lengkap; komplet: bagi mereka rasanya kurang afdal apabila pada waktu berbuka puasa tidak ada buah kurma,5;;;;;;;;;;;;;;;;;;;;;;
40,afiat,sehat: syukurlah engkau dalam keadaan sehat dan afiat,5;;;;;;;;;;;;;;;;;;;;;;;;;
51,agung,besar; mulia; luhur: kita kedatangan tamu agung dari negara tetanggalihat gung,5;;;;;;;;;;;;;;;;;;;;;;;
53,ahmak,klasik bodoh; kurang pikir: orang ahmak; pikiran yang ahmak,5;;;;;;;;;;;;;;;;;;;;;;;
54,ahsan,lebih baik,5;;;;;;;;;;;;;;;;;;;;;;;;;
56,akademik,akademis,8;;;;;;;;;;;;;;;;;;;;;;;;;
"57,akademis,""(1) mengenai (berhubungan dengan) akademi: soal-soal akademis"; (2) bersifat ilmiah; bersifat ilmu pengetahuan;" bersifat teori, tanpa arti praktis yang langsung: pelajaran yang diberikan terlalu akademis"",8";;;;;;;;;;;;;;;;;;;;;;
65,akmal,amat sempurna; mahasempurna: tuhan yang akmal,5;;;;;;;;;;;;;;;;;;;;;;;;
74,alami,bersangkutan dengan alam; bersifat alam; wajar; bakat alami; karet alami,5;;;;;;;;;;;;;;;;;;;;;
"76,alang,""nomina (kata benda) (1) sesuatu yang melintang: ditariknya garis alang"; (2) kayu yang dipasang melintang (di antara dua tiang atau dua dinding perahu): alang muka perahu itu terbuat dari kayu yang kuat; (3) dinding penyekat (bilik dan sebagainya) : alang kedai; alang balai; alang rumah (1) sedang; (2) tanggung(-tanggung); setengah-setengah; (3) tengah-tengah: saudara yang alang , bukan bungsu bukan sulungberasal dari bahasa minangkabau nomina (kata benda) hadiah;" pemberian"",5";;;;;;;;;;;;;;;;;
"78,albinoid,""(1) mirip bulai";" (2) [tern]yang berkulit putih, tidak berpigmen (tentang ternak kerbau, sapi), tetapi tanduk dan kuku berwarna hitam karena masih mengandung pigmen (zat tanduk): kerbau albinoid"",8";;;;;;;;;;;;;;;;;;;;;;;;
"79,albuminuria,""istilah kedokteran terdapatnya albumin dalam air kencing, biasanya berkaitan dengan penyakit ginjal"",11";;;;;;;;;;;;;;;;;;;;;;;;;
"80,alegoris,""bersifat kiasan (perlambangan, ibarat): para mahasiswa menyelenggarakan pawai alegoris"",8";;;;;;;;;;;;;;;;;;;;;;;;;
"81,alegreto,""cukup cepat (tentang irama)";" lebih cepat daripada andante, tetapi lebih lambat daripada alegro"",8";;;;;;;;;;;;;;;;;;;;;;;;
87,alifatik,istilah kimia mempunyai susunan atom karbon dalam rantai dan bukan dalam lingkar tertutup (tentang senyawaan),8;;;;;;;;;;;;;;;;;;;;;;;;;
"100,ambisius,""berkeinginan keras mencapai sesuatu (harapan, cita-cita)";" penuh ambisi: ia sangat ambisius untuk menduduki jabatan itu"",8";;;;;;;;;;;;;;;;;;;;;;;;
109,amniotik,istilah kedokteran bersangkutan dengan amnion,8;;;;;;;;;;;;;;;;;;;;;;;;;
113,analitis,bersifat (menurut) analisis: kesimpulan ini tidak didasarkan pada pandangan yang analitis,8;;;;;;;;;;;;;;;;;;;;;;;;;
117,anatomis,bersifat anatomi: ada alat-alat tertentu pada anak yang mempunyai bentuk dan letak anatomis yang tidak sama dengan orang dewasa,8;;;;;;;;;;;;;;;;;;;;;;;;;
118,andal,(1) dapat dipercaya; (2) memberikan hasil yang sama pada ujian atau percobaan yang berulang,5;;;;;;;;;;;;;;;;;;;;;;;;
119,aneka jenis,berbagai jenis,11;;;;;;;;;;;;;;;;;;;;;;;;;
120,anfas,sangat bernilai tinggi,5;;;;;;;;;;;;;;;;;;;;;;;;;
"121,angah,""berasal dari bahasa minangkabau , (1) payah";" (2) tercengang (tidak dapat berkata-kata)"",5";;;;;;;;;;;;;;;;;;;;;;;;
122,angel,cakapan (tidak baku) susah,5;;;;;;;;;;;;;;;;;;;;;;;;;
126,angin-angin,nomina (kata benda) kiasan kabar yang belum tentu kebenarannya; gelagat yang menyatakan bahwa sesuatu akan terjadi: ada angin-angin bahwa ia akan mengundurkan diri; (2) tidak tetap pendiriannya: orang tidak bisa percaya pada orang yang angin-angin ini,11;;;;;;;;;;;;;;;;;;;;;;;
127,angit,berbau seperti kerak terbakar,5;;;;;;;;;;;;;;;;;;;;;;;;;
129,angot,cakapan (tidak baku) (1) sakit lagi; kambuh; (2) sakit gila (mengacau dan sebagainya),5;;;;;;;;;;;;;;;;;;;;;;;
130,angut,(1) tertidur sebentar; terlelap; (2) mengantuk,5;;;;;;;;;;;;;;;;;;;;;;;
132,aniridia,istilah kedokteran keadaan tidak adanya iris sebagian atau seluruhnya pada mata,8;;;;;;;;;;;;;;;;;;;;;;;;;
"133,anisotropis,""istilah fisika keadaan yang memperlihatkan sifat berbeda, seperti kecepatan transmisi cahaya dalam arah yang berbeda"",11";;;;;;;;;;;;;;;;;;;;;;;;;
138,antarmaster,antara pemain utama (mewakili berbagai negara): pemain tunggal putra indonesia berhasil menjuarai kejuaraan bulu tangkis antarmaster di inggris,11;;;;;;;;;;;;;;;;;;;;;;;;;
139,antarnegara,antara negara yang terdapat dalam lingkungan tertentu,11;;;;;;;;;;;;;;;;;;;;;;;;;
140,antarplanet,antara planet yang satu dan yang lain,11;;;;;;;;;;;;;;;;;;;;;;;;;
143,anter-anter,sangat lambat (tentang suara),11;;;;;;;;;;;;;;;;;;;;;;;;;
"144,antik,""kuno, tetapi tetap bernilai sebagai hasil karya seni atau benda budaya (tentang barang-barang): koleksi barang antik";" (2) nkiasan perilaku, sifat, penampilan, dan sebagainya yang tidak seperti biasanya (tentang orang)"",5";;;;;;;;;;;;;;;;;;;;;;;;
148,antisipatif,bersifat tanggap terhadap sesuatu yang sedang (akan) terjadi: iklan makin responsif dan antisipatif terhadap hal-hal yang sedang populer dalam kehidupan masyarakat,11;;;;;;;;;;;;;;;;;;;;;;;;;
150,anyar,baru,5;;;;;;;;;;;;;;;;;;;;;;;;;
151,anyir,berbau seperti bau ikan; amis,5;;;;;;;;;;;;;;;;;;;;;;;;
158,apokaliptik,bersifat apokalips: agama bergabung dengan rasialisme sehingga menumbuhkan sikap serta perilaku yang apokaliptik,11;;;;;;;;;;;;;;;;;;;;;;;;;
160,apokromatik,istilah fisika bebas dari gangguan penyimpangan warna,11;;;;;;;;;;;;;;;;;;;;;;;;;
161,aposisional,bersifat sebagai tambahan,11;;;;;;;;;;;;;;;;;;;;;;;;;
162,apositif,bersifat aposisi,8;;;;;;;;;;;;;;;;;;;;;;;;;
175,aromatik,berkenaan dengan atau mempunyai aroma,8;;;;;;;;;;;;;;;;;;;;;;;;;
178,artistik,(1) mempunyai nilai seni; bersifat seni; (2) mempunyai bakat dalam kesenian; mempunyai rasa seni,8;;;;;;;;;;;;;;;;;;;;;;
180,asal-asalan,sebarang; seenaknya,11;;;;;;;;;;;;;;;;;;;;;;;;
181,asali,(1) bersifat asal; (2) berasal; berbangsa,5;;;;;;;;;;;;;;;;;;;;;;;
187,asiri,mudah menguap pada temperatur yang relatif rendah,5;;;;;;;;;;;;;;;;;;;;;;;;;
"189,asmaradanta,""putih berkilat (gigi, gading): bibirnya merah tua dan giginya asmaradanta"",11";;;;;;;;;;;;;;;;;;;;;;;;;
198,asyik,(1) dalam keadaan sibuk (melakukan sesuatu dengan gemarnya): mereka sedang asyik bekerja; (2) sangat terikat hatinya; penuh perhatian: ia sedang asyik membaca buku detektif; (3) senang: saya belum merasakan bagaimana asyik nya bermain golf?; (4) berahi; cinta kasih; sangat suka (gemar): putra mahkota itu teramat asyik nya kepada tuan putri,5;;;;;;;;;;;;;;;;;;;
199,ateistis,bersifat tidak mengakui adanya tuhan: propaganda yang ateistis bertentangan dengan pancasila,8;;;;;;;;;;;;;;;;;;;;;;;;;
202,atraktif,mempunyai daya tarik; bersifat menyenangkan: pameran itu sangat atraktif sehingga selalu dipenuhi pengunjung,8;;;;;;;;;;;;;;;;;;;;;;;;
204,autarkis,bersifat autarki,8;;;;;;;;;;;;;;;;;;;;;;;;;
205,autistik,terganggu jika berhubungan dengan orang lain,8;;;;;;;;;;;;;;;;;;;;;;;;;
"206,autokton,""secara endogen dihasilkan dalam habitat, komunitas, atau sistem yang sama"",8";;;;;;;;;;;;;;;;;;;;;;;;;
208,avirulen,tidak beracun; tidak mendatangkan penyakit,8;;;;;;;;;;;;;;;;;;;;;;;;
209,awaarang,tidak mengandung arang,8;;;;;;;;;;;;;;;;;;;;;;;;;
213,awawarna,hilang warnanya,8;;;;;;;;;;;;;;;;;;;;;;;;;
219,azali,bersifat azal; bersifat kekal,5;;;;;;;;;;;;;;;;;;;;;;;;
221,azmat,hebat; ramai sekali: tempik sorak kawan dan musuh terlalu azmat bunyinya,5;;;;;;;;;;;;;;;;;;;;;;;;
223,bacak,berbintik-bintik (tentang bulu): ayam bacaklihat bacek,5;;;;;;;;;;;;;;;;;;;;;;;;;
"224,bacar,""lancar dan banyak (tentang bicara, biasanya dalam arti yang kurang baik)"",5";;;;;;;;;;;;;;;;;;;;;;;;;
225,bacek,lunak karena mengandung air (tentang tanah dan sebagainya),5;;;;;;;;;;;;;;;;;;;;;;;;;
"226,bacul,""cakapan (tidak baku) kurang semangat (berkelahi, berlaga, dan sebagainya) ";" penakut"",5";;;;;;;;;;;;;;;;;;;;;;;;
